room_type,price,minimum_nights,neighborhood_id,host_id,listing_name,listing_id
Entire home/apt,228,1,106,397766412,2 BR SERENE INNER COURTYARD CONDO,53213405
Entire home/apt,153,1,132,410570167,2 BR/2BA w/ views in Queen Anne (Emerald Cottage),50798501
Entire home/apt,308,1,105,44975633,"2 Houses - Walking to Bus, Food, Shops, and Bars!",36213039
Entire home/apt,111,1,100,468703,2 Huge Private Rooms + Common Area,1301535
Entire home/apt,179,7,132,173100599,2 miles from AMAZON on Queen Anne / PETS ALLOWED,34066096
Entire home/apt,522,2,100,25110157,2 Modern Ballard Homes w/ Rooftop & 240vEV charger,565975949036921000
Entire home/apt,743,2,104,25110157,2 Modern Homes w/ Rooftop Deck close to CapHill,564148009201758000
Entire home/apt,199,30,124,6483877,2 Queen Bedrooms - Seattle Craftsman Private Floor,21267688
Private room,95,30,104,48441443,2 room space,19273944
Entire home/apt,104,3,101,437055,2/1 Plush Modern Hilltop Retreat,392779
Entire home/apt,149,30,133,118444562,2000 Sq Ft Apt w/Comforts of Home Near Downtown.,17482729
Entire home/apt,200,1,135,7435040,20406 54th PL Lake Forest Park House,587536788627928000
Entire home/apt,143,3,112,12178570,"2b w/ views: quiet, on bus line, free parking",53594720
Entire home/apt,189,30,106,171175671,2B2B New Downtown Condo Next to the Transit Center,49518988
Entire home/apt,188,30,102,5840685,2Bd 2Ba in Cap Hill/Downtown,27983657
Entire home/apt,90,30,106,46554969,2bd CapHill/DT Apartment. Parking & Pet Friendly,53158071
Entire home/apt,90,30,101,453540,2BD Modern Seattle Apartment,26995748
Entire home/apt,232,3,106,14980831,"2BD, 1.5 Bath View Penthouse",6494181
Entire home/apt,275,2,106,54518454,"2-bdrm + den (sleeps 8, 6 ad max) at Harbor Steps!",13732104
Entire home/apt,310,1,106,14015217,2-bdrm Waterfront Downtown Seattle,2935486
Entire home/apt,210,2,101,443035481,2BED 2BATH Heart of Seattle MT Baker neighborhood,563800518086100000
Entire home/apt,175,2,104,166251012,2-bedroom Madison Park Townhouse.  Private Rooftop,48424644
